,n,p,r,anchor_prob,num_anchors,TV_err_V,TV_err_U,TV_err_P_hat,TV_err_P,L2_err_V,L2_err_U,L2_err_P_hat,L2_err_P,sim_time,decomp_time,trial
26,1000000,1000,6,0.25,25,1.5597518729587276,152.3699432985283,300.41081099961957,113.59053681560388,0.004605664228470264,6.36651791830249,0.46336469506918454,0.1030227812807047,12.344161033630371,2.7840921878814697,1
27,1000000,1000,6,0.25,25,1.0743404557079657,141.13926357423318,300.2536912361279,110.7354758657062,0.0013756246541605868,5.496831821686577,0.4669998224468259,0.10068049114833577,12.22413420677185,2.8235855102539062,2
28,1000000,1000,6,0.25,25,1.6640851452379934,152.7851763138737,303.69618242549615,117.55401129272539,0.004801325168865157,6.265238565867048,0.47920398385572516,0.10905809390956797,12.369540452957153,2.7668192386627197,3
29,1000000,1000,6,0.25,25,1.5475875518086146,148.52721858439654,302.03329080895105,114.34658265094191,0.005422930763510616,6.064744774212839,0.4667050664215423,0.10728604763461397,12.488739967346191,2.766162872314453,4
30,1000000,1000,6,0.5,25,3.2853837304582707,191.74181476737454,284.489470388266,131.37897474359156,0.033729658901735335,9.836549339866174,0.5002549236186584,0.15020399985984972,12.367359399795532,2.726482629776001,0
31,1000000,1000,6,0.5,25,4.7782962504564,210.82187723198425,283.731868247427,135.99134751695152,0.0553459126728668,11.751629658553174,0.49332458103878873,0.1505431407471987,12.361913919448853,2.703263998031616,1
32,1000000,1000,6,0.5,25,5.6589957577781,244.04522182245785,282.9358331884532,139.00892543757118,0.07884702141235553,15.61900019426086,0.4829393144257718,0.14795337379408716,12.218473196029663,2.7051427364349365,2
33,1000000,1000,6,0.5,25,4.528157490902119,203.28409077280804,284.97599529471245,131.0342964045413,0.05838443732327105,11.073139817963279,0.5012694941678191,0.1481914825688758,12.169131517410278,2.6570868492126465,3
34,1000000,1000,6,0.5,25,4.677561288061699,239.49996871529996,286.62873480458506,131.982179518476,0.05101917551901411,15.220844928727454,0.5147468151676986,0.14904946366380945,12.21392822265625,2.6613101959228516,4
35,1000000,1000,6,0.9,25,5.5319797630502565,241.0124934259162,265.72366115408624,135.1334632761802,0.07269746397821081,14.98123248344151,0.5213108124183042,0.17693059769060887,12.068700313568115,2.614419460296631,0
36,1000000,1000,6,0.9,25,5.94139740680566,264.2948396403993,266.1162352532451,137.10373006459668,0.08873305332051491,18.510226978648834,0.5193583354977553,0.176641404523678,12.254291296005249,2.655414581298828,1
