,n,p,r,num_anchors,TV_err_V,TV_err_U,TV_err_P_hat,TV_err_P,L2_err_V,L2_err_U,L2_err_P_hat,L2_err_P,sim_time,decomp_time,trial,ln_n,ln_TV_err_V,ln_TV_err_U
1,800000,1000,6,50,6.026856516449219,317.2345040476074,317.38935373408486,124.76261492747086,0.0446235715791633,26.081626356337992,0.4849878407602188,0.0866770055719208,9.89086103439331,2.677886724472046,1,13.592367006650065,1.7962255674229661,5.75964126079197
2,800000,1000,6,50,6.539743811935818,336.5749769943219,320.67937481164125,128.45579732766487,0.0506086522351717,29.741888409951017,0.4996430112136268,0.0924179772872626,9.841021537780762,2.7154858112335205,2,13.592367006650065,1.8778979922149674,5.818820938512988
3,800000,1000,6,50,7.018241822739859,326.6342967912112,318.8266124311966,126.5783878766928,0.0599776487614346,27.627850750948348,0.4888482179946573,0.0891462399715322,9.855124235153198,2.692354440689087,3,13.592367006650065,1.9485127340680697,5.788841186631149
4,800000,1000,6,50,7.52091888676914,386.2217156726117,315.84686695878406,134.46782656204857,0.0664740896478781,39.16252057910491,0.4821368544807106,0.0956199137615871,9.831435203552246,2.7121593952178955,4,13.592367006650065,2.01768832288638,5.956411597498579
5,1000000,1000,6,50,6.733830529384965,302.8527280531809,296.67129345293864,122.56265054301107,0.0537149909302703,23.82249944611123,0.4205183986726307,0.0848514982341767,12.347745656967165,2.758159637451172,0,13.815510557964274,1.9071441540107041,5.713246641321604
6,1000000,1000,6,50,6.311743621137065,319.2006593573436,296.0382238458627,126.00861432727532,0.0524473853304083,27.570738224553736,0.4196290453092585,0.0885133239925372,12.353281259536743,2.721165418624878,1,13.815510557964274,1.8424119650280735,5.765819931229359
7,1000000,1000,6,50,7.127028088490669,431.7970553462071,296.52906877880537,148.838771587454,0.0660960893619789,48.17997621551413,0.4217881581846515,0.1194234633532652,12.393699645996094,2.732537269592285,2,13.815510557964274,1.9638943296499876,6.067955698572061
8,1000000,1000,6,50,5.876447918179898,327.0481810557502,293.0431214151139,125.39360356661476,0.0455594356077246,28.039838000436163,0.4127129413387029,0.0870240369584481,12.274535179138184,2.721569776535034,3,13.815510557964274,1.770952483823666,5.790107502721522
9,1000000,1000,6,50,7.29023961022019,449.0396968603424,295.3983271935333,129.170505867743,0.0640665282843287,52.03124502015896,0.4159647404620968,0.0889250531512853,12.411930799484251,2.7297520637512207,4,13.815510557964274,1.986536413823376,6.107111295549854
10,2000000,1000,6,50,6.092488830432503,256.3642441093023,241.3559872160288,112.90299292487283,0.0466570592337076,17.439918512298938,0.2703116486631279,0.0753978352351967,24.56581997871399,2.6825733184814453,0,14.508657738524219,1.8070566731848097,5.546599261770101
11,2000000,1000,6,50,5.310880701615036,225.0123290791724,242.04655994272213,115.34127021522174,0.0373215560698417,13.457841282306603,0.2746999224558698,0.0783293905772231,24.38697934150696,2.641318798065185,1,14.508657738524219,1.6697576786790393,5.416155196610612
12,2000000,1000,6,50,6.565929057835489,325.289373616316,241.09820063773984,118.84159147674926,0.0565087277146368,27.84494764636992,0.2704547135879056,0.0788067423747919,24.532253742218018,2.707784414291382,2,14.508657738524219,1.8818940145488252,5.784715166534176
13,2000000,1000,6,50,6.315472478321177,271.580499075404,240.58418236077227,111.94466744591114,0.0499197107525216,19.38877314210478,0.2698980672962635,0.0725967500755609,24.645719051361084,2.706772804260254,3,14.508657738524219,1.8430025714235183,5.604258592942589
14,2000000,1000,6,50,6.491677201284386,297.41071843045785,242.12951696008912,120.90437977109094,0.0490439152543307,23.15353432508161,0.2750032155767468,0.081448166002597,24.37063789367676,2.692753553390503,4,14.508657738524219,1.870520925878305,5.695114073828725
15,5000000,1000,6,50,6.069756290272404,224.4078529477892,194.89431132992328,96.2688670928004,0.0464697817817731,13.374782677763092,0.1855172185575617,0.0564262655176781,61.54749798774719,2.780293703079224,0,15.424948470398375,1.8033184543926286,5.413465168347223
16,5000000,1000,6,50,1.07039594116057,149.65543079312152,192.9683294604933,92.65503461904876,0.0022105627629784,6.145712130950095,0.1796153026243986,0.0566219839751202,61.056806564331055,2.768271207809448,1,15.424948470398375,0.06802861849428823,5.008335523604303
